Region1,Region2,Market,Longitude,Latitude
TIGRAY,Tigray,Enda- silase ,,
TIGRAY,Tigray,Enda- baguna ,,
TIGRAY,Tigray,Adwa,,
TIGRAY,Tigray,Axum,,
TIGRAY,Tigray,Adigrat,,
TIGRAY,Tigray,Wukiro,,
TIGRAY,Tigray,Mai- chew ,,
TIGRAY,Tigray,Mekelle,,
AFAR,Afar,Ayisaeta,,
AFAR,Afar,Dubti,,
AFAR,Afar,Melka Werers ,,
AFAR,Afar,Sebat killo ,,
AMHARA,Amhara,Chuahit,,
AMHARA,Amhara,Gondar,,
AMHARA,Amhara,Esete,,
AMHARA,Amhara,Debre- Tabor ,,
AMHARA,Amhara,Kobo,,
AMHARA,Amhara,Weldiya,,
AMHARA,Amhara,Kombolcha,,
AMHARA,Amhara,Dessie,,
AMHARA,Amhara,Shewa- Robit ,,
AMHARA,Amhara,Debre- Birhan,,
AMHARA,Amhara,Mota,,
AMHARA,Amhara,Debre- markos ,,
AMHARA,Amhara,Dembecha,,
AMHARA,Amhara,Bahir- Dar ,,
AMHARA,Amhara,Sekota,,
AMHARA,Amhara,Amde Work ,,
AMHARA,Amhara,Danigla,,
AMHARA,Amhara,Chagni,,
AMHARA,Amhara,Kemise,,
AMHARA,Amhara,Bati,,
OROMIYA,Oromia,Ghimbi,,
OROMIYA,Oromia,Dembi- dolo ,,
OROMIYA,Oromia,Shambu,,
OROMIYA,Oromia,Nekemte,,
OROMIYA,Oromia,Bedele,,
OROMIYA,Oromia,Metu,,
OROMIYA,Oromia,Jimma,,
OROMIYA,Oromia,Agaro,,
OROMIYA,Oromia,Ambo,,
OROMIYA,Oromia,Weliso,,
OROMIYA,Oromia,Ejere,,
OROMIYA,Oromia,Fiche,,
OROMIYA,Oromia,Nazareth,,
OROMIYA,Oromia,Shashe- mene,,
OROMIYA,Oromia,Diksise,,
OROMIYA,Oromia,Asella,,
OROMIYA,Oromia,Asebe- Teferi ,,
OROMIYA,Oromia,Bedessa,,
OROMIYA,Oromia,Alemaya,,
OROMIYA,Oromia,Boreda,,
OROMIYA,Oromia,Adaba,,
OROMIYA,Oromia,Robe,,
OROMIYA,Oromia,Hagere- Mariam ,,
OROMIYA,Oromia,Negele- Borena ,,
SOMALIE,Somali,Shinile,,
SOMALIE,Somali,Arere,,
SOMALIE,Somali,Jigjiga,,
SOMALIE,Somali,Hartshek,,
SOMALIE,Somali,Dolo,,
SOMALIE,Somali,Moyale,,
BENISHANGUL - GUMUZ,Benshangul-Gumaz,Mambook ,,
BENISHANGUL - GUMUZ,Benshangul-Gumaz,Mender-  Sebat,,
BENISHANGUL - GUMUZ,Benshangul-Gumaz,Asossa  ,,
BENISHANGUL - GUMUZ,Benshangul-Gumaz,Bambasi ,,
BENISHANGUL - GUMUZ,Benshangul-Gumaz,Kemashi  ,,
BENISHANGUL - GUMUZ,Benshangul-Gumaz,Agelo- meti,,
SNNP,"Southern Nations, Nationalities and Peoples",Welikite,,
SNNP,"Southern Nations, Nationalities and Peoples",Butajira,,
SNNP,"Southern Nations, Nationalities and Peoples",Hosahna,,
SNNP,"Southern Nations, Nationalities and Peoples",Shone,,
SNNP,"Southern Nations, Nationalities and Peoples",Doyugena,,
SNNP,"Southern Nations, Nationalities and Peoples",Alaba,,
SNNP,"Southern Nations, Nationalities and Peoples",Awasa,,
