"Region","Market","Month","Year","Longitude","Latitude","barley_Hulled_Temez","barley_Malt","barley_milled_Mixed","barley_milled_White","barley_unmilled_Black","barley_unmilled_for_Beer","barley_unmilled_Mixed","barley_unmilled_White","barley_unmilled_Hulled","barley_unmilled_Hulled_Temez","maize_Milled","maize_Unmilled","wheat_Bread_Bakery","wheat_Malt","wheat_Porridge_bula","wheat_milled_Mixed","wheat_milled_White","wheat_milled_Emmer_Aja","wheat_unmilled_Black_Red","wheat_unmilled_Mixed","wheat_unmilled_White","wheat_unmilled_Emmer_shelled_Aja","wheat_unmilled_Emmer_unshelled"
"addis","addis ababa","january","2014","38.793806","9.023748",".","23.16",".",".","10","10.49","9.415","10.32","18.945",".","9.32","7.5","4.085","19.66",".",".",".",".","13.065",".","9.825",".","."
"addis","addis ababa","january","2015","38.793806","9.023748",".","27.385",".",".","12","12","10","12","30",".","11","7.56","4.225","24.26",".",".",".",".","13.83","12","12.365",".","."
"addis","addis ababa","january","2016","38.793806","9.023748",".","31.36",".",".","12.16","13","11","13","20",".",".","7.49","4.49","28.275",".",".",".",".","14",".","13",".","."
"addis","addis ababa","january","2017","38.793806","9.023748",".",".",".",".",".",".",".",".","20",".",".","7.98",".",".",".",".",".",".",".",".",".",".","."
"addis","addis ababa","january","2018","38.793806","9.023748","30","34.72",".",".","19.23","20","18.485","18.97",".",".","13.5","10.945","4.515","29.36",".",".","14","45.25","21",".","14",".","34.495"
"addis","addis ababa","january","2019","38.793806","9.023748","39","41.775",".",".","18.97","20","18.745","19.745",".",".","14","10.875","5.085","41.32",".",".",".","56.22","23.745",".","19.49","29","32.5"
"addis","addis ababa","february","2014","38.793806","9.023748",".","23.79",".",".","10","10.32","9","10","25",".","9","7.165","3.97","21.055",".",".",".",".","12.16",".","10",".","."
"addis","addis ababa","february","2015","38.793806","9.023748",".","26.86",".",".","11.41","12.16","10.5","12.32",".",".","10","7.08","4.24","22.925",".",".",".",".","14","9","12",".","."
"addis","addis ababa","february","2016","38.793806","9.023748",".","33.275",".",".","12.08","13","11","12.83","20",".",".","7.405","4.375","29.225",".",".",".",".","14",".","12.83",".","."
"addis","addis ababa","february","2017","38.793806","9.023748",".",".",".",".",".",".",".",".",".",".",".","7.905",".",".",".",".",".",".",".",".",".",".","."
"addis","addis ababa","february","2018","38.793806","9.023748","30","36.135",".",".","18.245","18.5","17.985","18.97",".",".","15","10.72","4.465","29.57",".",".","14","48.715","21.99",".","13.745",".","35"
"addis","addis ababa","february","2019","38.793806","9.023748","35","43.495",".",".","18.97","19.485","17.985","19.485",".",".","15","11","5.425","47.17",".",".",".","54.77","23.735",".","18.97",".","35"
"addis","addis ababa","march","2015","38.793806","9.023748",".","28",".",".","11.33","12.32","10.32","12.16",".",".","10","7.15","4.29","21.605",".",".",".",".","14","10.5","11.915",".","."
"addis","addis ababa","march","2016","38.793806","9.023748",".","30.3",".",".","12","12.32","10","12.83","16",".",".","7.08","4.48","27.96",".",".",".",".","14.15",".","12.66",".","."
"addis","addis ababa","march","2017","38.793806","9.023748",".",".",".",".",".",".",".",".","25",".",".","7.74",".",".",".",".",".",".",".",".",".",".","."
"addis","addis ababa","march","2018","38.793806","9.023748","37.5","33.78",".",".","17.745","16.97","17.73","18.19",".",".","15","11.455","4.59","30.185","50",".","12.96","49.495","20.98",".","14.49",".","35"
"addis","addis ababa","march","2019","38.793806","9.023748","35","40.67",".",".","18.245","18.5","17","19.5",".",".","15","10.5","6.58","46.01","65",".","19","60","23.49",".","19.5",".","35"
"addis","addis ababa","april","2014","38.793806","9.023748",".","23.53",".",".","10.08","10.5","10","10.66","23.5",".","9","7.32","4.14","20.19",".",".",".",".","11.83","10","10.32",".","."
"addis","addis ababa","april","2016","38.793806","9.023748",".","32.375",".",".","12","13","10.825","13","21.5",".",".","7.245","4.445","28.9",".",".",".",".","14.165",".","12.83",".","."
