"","Region","Market","Month","Year","Longitude","Latitude","Unmilled Maize Price Birr.KG","Milled Maize Price Birr.KG"
"1","ADDIS","addis ababa","April","2016","38.793806","9.023748","7.245",NA
"2","ADDIS","addis ababa","AUGUST","2015","38.793806","9.023748","7.32",NA
"3","ADDIS","addis ababa","DECEMBER","2015","38.793806","9.023748","7.325",NA
"4","ADDIS","addis ababa","February","2016","38.793806","9.023748","7.405",NA
"5","ADDIS","addis ababa","JANUARY","2016","38.793806","9.023748","7.49",NA
"6","ADDIS","addis ababa","JULY","2015","38.793806","9.023748","7.24",NA
"7","ADDIS","addis ababa","June","2016","38.793806","9.023748","7.32",NA
"8","ADDIS","addis ababa","March","2016","38.793806","9.023748","7.08",NA
"9","ADDIS","addis ababa","May","2016","38.793806","9.023748","7.32",NA
"10","ADDIS","addis ababa","NOVEMBER","2015","38.793806","9.023748","7.33",NA
"11","ADDIS","addis ababa","October","2015","38.793806","9.023748","7.41",NA
"12","ADDIS","addis ababa","September","2015","38.793806","9.023748","7.49",NA
"13","AMHARA","Chuahit","April","2016","39.311961","10.643157","5.00","-"
"14","AMHARA","Gondar","April","2016","37.46149667","12.59878688","5.50","-"
"15","AMHARA","Esete","April","2016","37.88657423","10.92298692","7.07","-"
"16","AMHARA","Debre- Tabor ","April","2016","38.00833967","11.84769551","5.47","-"
"17","AMHARA","Kobo","April","2016","39.63127424","12.16406542","4.79","-"
"18","AMHARA","Weldiya","April","2016","39.6014117","11.82360232","6.40","-"
"19","AMHARA","Kombolcha","April","2016","39.73724188","11.07807805","5.89","-"
"20","AMHARA","Dessie","April","2016","39.63548793","11.11703902","5.38","-"
"21","AMHARA","Shewa- Robit ","April","2016","39.90269733","10.00580856","7.61","-"
"22","AMHARA","Debre-¦","April","2016","39.52890047","9.67650294","5.83","-"
"23","AMHARA","Chuahit","AUGUST","2015","39.311961","10.643157","4.50","20.00"
"24","AMHARA","Gondar","AUGUST","2015","37.46149667","12.59878688","5.00","-"
"25","AMHARA","Esete","AUGUST","2015","37.88657423","10.92298692","5.56","-"
"26","AMHARA","Debre- Tabor ","AUGUST","2015","38.00833967","11.84769551","4.80","-"
"27","AMHARA","Kobo","AUGUST","2015","39.63127424","12.16406542","5.12","-"
"28","AMHARA","Weldiya","AUGUST","2015","39.6014117","11.82360232","5.60","-"
"29","AMHARA","Kombolcha","AUGUST","2015","39.73724188","11.07807805","5.32","-"
"30","AMHARA","Dessie","AUGUST","2015","39.63548793","11.11703902","5.88","-"
"31","AMHARA","Shewa- Robit ","AUGUST","2015","39.90269733","10.00580856","6.83","-"
"32","AMHARA","Debre-¦","AUGUST","2015","39.52890047","9.67650294","5.50","-"
"33","AMHARA","Chuahit","DECEMBER","2015","39.311961","10.643157","4.50","-"
"34","AMHARA","Gondar","DECEMBER","2015","37.46149667","12.59878688","5.50","-"
"35","AMHARA","Esete","DECEMBER","2015","37.88657423","10.92298692","5.77","-"
"36","AMHARA","Debre- Tabor ","DECEMBER","2015","38.00833967","11.84769551","5.44","-"
"37","AMHARA","Kobo","DECEMBER","2015","39.63127424","12.16406542","5.17","-"
"38","AMHARA","Weldiya","DECEMBER","2015","39.6014117","11.82360232","6.80","-"
"39","AMHARA","Kombolcha","DECEMBER","2015","39.73724188","11.07807805","5.91","-"
"40","AMHARA","Dessie","DECEMBER","2015","39.63548793","11.11703902","6.00","-"
"41","AMHARA","Shewa- Robit ","DECEMBER","2015","39.90269733","10.00580856","8.81","-"
"42","AMHARA","Debre-¦","DECEMBER","2015","39.52890047","9.67650294","5.50","-"
"43","AMHARA","Chuahit","February","2016","39.311961","10.643157","4.50","-"
"44","AMHARA","Gondar","February","2016","37.46149667","12.59878688","5.50","-"
"45","AMHARA","Esete","February","2016","37.88657423","10.92298692","7.08","-"
"46","AMHARA","Debre- Tabor ","February","2016","38.00833967","11.84769551","5.41","-"
"47","AMHARA","Kobo","February","2016","39.63127424","12.16406542","4.16","-"
"48","AMHARA","Weldiya","February","2016","39.6014117","11.82360232","6.43","-"
"49","AMHARA","Kombolcha","February","2016","39.73724188","11.07807805","5.95","-"
"50","AMHARA","Dessie","February","2016","39.63548793","11.11703902","6.52","-"
"51","AMHARA","Shewa- Robit ","February","2016","39.90269733","10.00580856","7.67","-"
"52","AMHARA","Debre-¦","February","2016","39.52890047","9.67650294","5.60","-"
"53","AMHARA","Chuahit","JANUARY","2016","39.311961","10.643157","4.50","-"
"54","AMHARA","Gondar","JANUARY","2016","37.46149667","12.59878688","5.50","-"
"55","AMHARA","Esete","JANUARY","2016","37.88657423","10.92298692","6.96","-"
"56","AMHARA","Debre- Tabor ","JANUARY","2016","38.00833967","11.84769551","5.48","-"
"57","AMHARA","Kobo","JANUARY","2016","39.63127424","12.16406542","6.58","-"
"58","AMHARA","Weldiya","JANUARY","2016","39.6014117","11.82360232","6.40","-"
"59","AMHARA","Kombolcha","JANUARY","2016","39.73724188","11.07807805","5.99","-"
"60","AMHARA","Dessie","JANUARY","2016","39.63548793","11.11703902","6.43","-"
"61","AMHARA","Shewa- Robit ","JANUARY","2016","39.90269733","10.00580856","8.14","-"
"62","AMHARA","Debre-¦","JANUARY","2016","39.52890047","9.67650294","5.50","-"
"63","AMHARA","Chuahit","JULY","2015","39.311961","10.643157","4.50","-"
"64","AMHARA","Gondar","JULY","2015","37.46149667","12.59878688","5.00","-"
"65","AMHARA","Esete","JULY","2015","37.88657423","10.92298692","5.57","-"
"66","AMHARA","Debre- Tabor ","JULY","2015","38.00833967","11.84769551","5.13","-"
"67","AMHARA","Kobo","JULY","2015","39.63127424","12.16406542","4.98","-"
"68","AMHARA","Weldiya","JULY","2015","39.6014117","11.82360232","5.60","-"
"69","AMHARA","Kombolcha","JULY","2015","39.73724188","11.07807805","5.30","-"
"70","AMHARA","Dessie","JULY","2015","39.63548793","11.11703902","6.23","-"
"71","AMHARA","Shewa- Robit ","JULY","2015","39.90269733","10.00580856","6.61","-"
"72","AMHARA","Debre-¦","JULY","2015","39.52890047","9.67650294","6.00","-"
"73","AMHARA","Chuahit","June","2016","39.311961","10.643157","5.00","-"
"74","AMHARA","Gondar","June","2016","37.46149667","12.59878688","5.50","-"
"75","AMHARA","Esete","June","2016","37.88657423","10.92298692","7.03","-"
"76","AMHARA","Debre- Tabor ","June","2016","38.00833967","11.84769551","5.52","-"
"77","AMHARA","Kobo","June","2016","39.63127424","12.16406542","4.86","-"
"78","AMHARA","Weldiya","June","2016","39.6014117","11.82360232","6.43","-"
"79","AMHARA","Kombolcha","June","2016","39.73724188","11.07807805","5.84","-"
"80","AMHARA","Dessie","June","2016","39.63548793","11.11703902","5.86","-"
"81","AMHARA","Shewa- Robit ","June","2016","39.90269733","10.00580856","9.16","-"
"82","AMHARA","Debre-¦","June","2016","39.52890047","9.67650294","5.50","-"
"83","AMHARA","Chuahit","March","2016","39.311961","10.643157","5.00","-"
"84","AMHARA","Gondar","March","2016","37.46149667","12.59878688","5.50","-"
"85","AMHARA","Esete","March","2016","37.88657423","10.92298692","6.96","-"
"86","AMHARA","Debre- Tabor ","March","2016","38.00833967","11.84769551","5.38","-"
"87","AMHARA","Kobo","March","2016","39.63127424","12.16406542","5.01","-"
"88","AMHARA","Weldiya","March","2016","39.6014117","11.82360232","6.45","-"
"89","AMHARA","Kombolcha","March","2016","39.73724188","11.07807805","5.86","-"
"90","AMHARA","Dessie","March","2016","39.63548793","11.11703902","5.89","-"
"91","AMHARA","Shewa- Robit ","March","2016","39.90269733","10.00580856","7.42","-"
"92","AMHARA","Debre-¦","March","2016","39.52890047","9.67650294","5.66","-"
"93","AMHARA","Chuahit","May","2016","39.311961","10.643157","5.17","-"
"94","AMHARA","Gondar","May","2016","37.46149667","12.59878688","5.50","-"
"95","AMHARA","Esete","May","2016","37.88657423","10.92298692","7.08","-"
"96","AMHARA","Debre- Tabor ","May","2016","38.00833967","11.84769551","5.50","-"
"97","AMHARA","Kobo","May","2016","39.63127424","12.16406542","4.66","-"
"98","AMHARA","Weldiya","May","2016","39.6014117","11.82360232","6.40","-"
"99","AMHARA","Kombolcha","May","2016","39.73724188","11.07807805","5.76","-"
"100","AMHARA","Dessie","May","2016","39.63548793","11.11703902","5.72","-"
"101","AMHARA","Shewa- Robit ","May","2016","39.90269733","10.00580856","7.68","-"
"102","AMHARA","Debre-¦","May","2016","39.52890047","9.67650294","5.66","-"
"103","AMHARA","Chuahit","NOVEMBER","2015","39.311961","10.643157","4.00","-"
"104","AMHARA","Gondar","NOVEMBER","2015","37.46149667","12.59878688","5.16","-"
"105","AMHARA","Esete","NOVEMBER","2015","37.88657423","10.92298692","5.76","-"
"106","AMHARA","Debre- Tabor ","NOVEMBER","2015","38.00833967","11.84769551","4.88","-"
"107","AMHARA","Kobo","NOVEMBER","2015","39.63127424","12.16406542","5.50","-"
"108","AMHARA","Weldiya","NOVEMBER","2015","39.6014117","11.82360232","5.60","-"
"109","AMHARA","Kombolcha","NOVEMBER","2015","39.73724188","11.07807805","5.98","-"
"110","AMHARA","Dessie","NOVEMBER","2015","39.63548793","11.11703902","5.53","-"
"111","AMHARA","Shewa- Robit ","NOVEMBER","2015","39.90269733","10.00580856","9.27","-"
"112","AMHARA","Debre-¦","NOVEMBER","2015","39.52890047","9.67650294","4.50","-"
"113","AMHARA","Chuahit","October","2015","39.311961","10.643157","4.50","-"
"114","AMHARA","Gondar","October","2015","37.46149667","12.59878688","5.00","-"
"115","AMHARA","Esete","October","2015","37.88657423","10.92298692","5.60","-"
"116","AMHARA","Debre- Tabor ","October","2015","38.00833967","11.84769551","4.76","-"
"117","AMHARA","Kobo","October","2015","39.63127424","12.16406542","5.83","-"
"118","AMHARA","Weldiya","October","2015","39.6014117","11.82360232","5.60","-"
"119","AMHARA","Kombolcha","October","2015","39.73724188","11.07807805","5.29","-"
"120","AMHARA","Dessie","October","2015","39.63548793","11.11703902","5.65","-"
"121","AMHARA","Shewa- Robit ","October","2015","39.90269733","10.00580856","7.60","-"
"122","AMHARA","Debre-¦","October","2015","39.52890047","9.67650294","5.58","-"
"123","AMHARA","Chuahit","September","2015","39.311961","10.643157","4.50","-"
"124","AMHARA","Gondar","September","2015","37.46149667","12.59878688","5.00","-"
"125","AMHARA","Esete","September","2015","37.88657423","10.92298692","5.64","-"
"126","AMHARA","Debre- Tabor ","September","2015","38.00833967","11.84769551","4.80","-"
"127","AMHARA","Kobo","September","2015","39.63127424","12.16406542","5.57","-"
"128","AMHARA","Weldiya","September","2015","39.6014117","11.82360232","5.60","-"
"129","AMHARA","Kombolcha","September","2015","39.73724188","11.07807805","5.28","-"
"130","AMHARA","Dessie","September","2015","39.63548793","11.11703902","5.45","-"
"131","AMHARA","Shewa- Robit ","September","2015","39.90269733","10.00580856","6.87","-"
"132","AMHARA","Debre-¦","September","2015","39.52890047","9.67650294","6.00","-"
"133","AMHARa","Mota","April","2016","37.8807432","11.07475582","4.50","-"
"134","AMHARa","Debre- markos ","April","2016","37.72636868","10.33641293","4.93","-"
"135","AMHARa","Dembecha","April","2016","37.48251554","10.56669266","4.48","-"
"136","AMHARa","Bahir- Dar ","April","2016","37.3815488","11.58416449","6.49","-"
"137","AMHARa","Sekota","April","2016","39.03355257","12.62479803","5.79","-"
"138","AMHARa","Amde Work ","April","2016","38.85815043","12.45920199","6.61","-"
"139","AMHARa","Danigla","April","2016","36.83153176","11.25223153","4.56","-"
"140","AMHARa","Chagni","April","2016","36.50793596","10.95196565","4.50","-"
"141","AMHARa","Kemise","April","2016","39.85696873","10.71374234","6.32","-"
"142","AMHARa","Bati","April","2016","40.0181327","11.19153266","5.40","-"
"143","AMHARa","Mota","AUGUST","2015","37.8807432","11.07475582","4.20","-"
"144","AMHARa","Debre- markos ","AUGUST","2015","37.72636868","10.33641293","4.50","-"
"145","AMHARa","Dembecha","AUGUST","2015","37.48251554","10.56669266","4.26","-"
"146","AMHARa","Bahir- Dar ","AUGUST","2015","37.3815488","11.58416449","6.65","-"
"147","AMHARa","Sekota","AUGUST","2015","39.03355257","12.62479803","6.39","-"
"148","AMHARa","Amde Work ","AUGUST","2015","38.85815043","12.45920199","7.41","-"
"149","AMHARa","Danigla","AUGUST","2015","36.83153176","11.25223153","4.32","-"
"150","AMHARa","Chagni","AUGUST","2015","36.50793596","10.95196565","4.50","-"
"151","AMHARa","Kemise","AUGUST","2015","39.85696873","10.71374234","4.26","-"
"152","AMHARa","Bati","AUGUST","2015","40.0181327","11.19153266","5.69","-"
"153","AMHARa","Mota","DECEMBER","2015","37.8807432","11.07475582","4.30","-"
"154","AMHARa","Debre- markos ","DECEMBER","2015","37.72636868","10.33641293","4.90","-"
"155","AMHARa","Dembecha","DECEMBER","2015","37.48251554","10.56669266","5.00","-"
"156","AMHARa","Bahir- Dar ","DECEMBER","2015","37.3815488","11.58416449","5.65","-"
"157","AMHARa","Sekota","DECEMBER","2015","39.03355257","12.62479803","5.36","-"
"158","AMHARa","Amde Work ","DECEMBER","2015","38.85815043","12.45920199","6.87","-"
"159","AMHARa","Danigla","DECEMBER","2015","36.83153176","11.25223153","4.54","-"
"160","AMHARa","Chagni","DECEMBER","2015","36.50793596","10.95196565","4.50","-"
"161","AMHARa","Kemise","DECEMBER","2015","39.85696873","10.71374234","4.53","-"
"162","AMHARa","Bati","DECEMBER","2015","40.0181327","11.19153266","5.87","-"
"163","AMHARa","Mota","February","2016","37.8807432","11.07475582","4.53","-"
"164","AMHARa","Debre- markos ","February","2016","37.72636868","10.33641293","5.40","-"
"165","AMHARa","Dembecha","February","2016","37.48251554","10.56669266","4.96","-"
"166","AMHARa","Bahir- Dar ","February","2016","37.3815488","11.58416449","6.00","-"
"167","AMHARa","Sekota","February","2016","39.03355257","12.62479803","5.34","-"
"168","AMHARa","Amde Work ","February","2016","38.85815043","12.45920199","7.40","-"
"169","AMHARa","Danigla","February","2016","36.83153176","11.25223153","4.61","-"
"170","AMHARa","Chagni","February","2016","36.50793596","10.95196565","4.63","-"
"171","AMHARa","Kemise","February","2016","39.85696873","10.71374234","5.06","-"
"172","AMHARa","Bati","February","2016","40.0181327","11.19153266","5.64","-"
"173","AMHARa","Mota","JANUARY","2016","37.8807432","11.07475582","4.50","-"
"174","AMHARa","Debre- markos ","JANUARY","2016","37.72636868","10.33641293","5.00","-"
"175","AMHARa","Dembecha","JANUARY","2016","37.48251554","10.56669266","5.00","-"
"176","AMHARa","Bahir- Dar ","JANUARY","2016","37.3815488","11.58416449","5.83","-"
"177","AMHARa","Sekota","JANUARY","2016","39.03355257","12.62479803","5.84","-"
"178","AMHARa","Amde Work ","JANUARY","2016","38.85815043","12.45920199","7.14","-"
"179","AMHARa","Danigla","JANUARY","2016","36.83153176","11.25223153","4.56","-"
"180","AMHARa","Chagni","JANUARY","2016","36.50793596","10.95196565","5.00","-"
"181","AMHARa","Kemise","JANUARY","2016","39.85696873","10.71374234","4.46","-"
"182","AMHARa","Bati","JANUARY","2016","40.0181327","11.19153266","5.74","-"
"183","AMHARa","Mota","JULY","2015","37.8807432","11.07475582","4.03","-"
"184","AMHARa","Debre- markos ","JULY","2015","37.72636868","10.33641293","4.70","-"
"185","AMHARa","Dembecha","JULY","2015","37.48251554","10.56669266","4.21","-"
"186","AMHARa","Bahir- Dar ","JULY","2015","37.3815488","11.58416449","6.32","-"
"187","AMHARa","Sekota","JULY","2015","39.03355257","12.62479803","6.46","-"
"188","AMHARa","Amde Work ","JULY","2015","38.85815043","12.45920199","6.99","-"
"189","AMHARa","Danigla","JULY","2015","36.83153176","11.25223153","4.32","-"
"190","AMHARa","Chagni","JULY","2015","36.50793596","10.95196565","4.43","-"
"191","AMHARa","Kemise","JULY","2015","39.85696873","10.71374234","4.18","-"
"192","AMHARa","Bati","JULY","2015","40.0181327","11.19153266","5.85","-"
"193","AMHARa","Mota","June","2016","37.8807432","11.07475582","4.23","-"
"194","AMHARa","Debre- markos ","June","2016","37.72636868","10.33641293","4.87","-"
"195","AMHARa","Dembecha","June","2016","37.48251554","10.56669266","4.37","-"
"196","AMHARa","Bahir- Dar ","June","2016","37.3815488","11.58416449","6.32","-"
"197","AMHARa","Sekota","June","2016","39.03355257","12.62479803","5.79","-"
"198","AMHARa","Amde Work ","June","2016","38.85815043","12.45920199","7.19","-"
"199","AMHARa","Danigla","June","2016","36.83153176","11.25223153","4.33","-"
"200","AMHARa","Chagni","June","2016","36.50793596","10.95196565","4.50","-"
"201","AMHARa","Kemise","June","2016","39.85696873","10.71374234","4.18","-"
"202","AMHARa","Bati","June","2016","40.0181327","11.19153266","6.22","-"
"203","AMHARa","Mota","March","2016","37.8807432","11.07475582","4.30","-"
"204","AMHARa","Debre- markos ","March","2016","37.72636868","10.33641293","5.00","-"
"205","AMHARa","Dembecha","March","2016","37.48251554","10.56669266","4.68","-"
"206","AMHARa","Bahir- Dar ","March","2016","37.3815488","11.58416449","5.83","-"
"207","AMHARa","Sekota","March","2016","39.03355257","12.62479803","5.86","-"
"208","AMHARa","Amde Work ","March","2016","38.85815043","12.45920199","7.14","-"
"209","AMHARa","Danigla","March","2016","36.83153176","11.25223153","4.83","-"
"210","AMHARa","Chagni","March","2016","36.50793596","10.95196565","4.50","-"
"211","AMHARa","Kemise","March","2016","39.85696873","10.71374234","5.04","-"
"212","AMHARa","Bati","March","2016","40.0181327","11.19153266","5.49","-"
"213","AMHARa","Mota","May","2016","37.8807432","11.07475582","4.27","-"
"214","AMHARa","Debre- markos ","May","2016","37.72636868","10.33641293","4.60","-"
"215","AMHARa","Dembecha","May","2016","37.48251554","10.56669266","4.48","-"
"216","AMHARa","Bahir- Dar ","May","2016","37.3815488","11.58416449","6.33","-"
"217","AMHARa","Sekota","May","2016","39.03355257","12.62479803","5.89","-"
"218","AMHARa","Amde Work ","May","2016","38.85815043","12.45920199","7.24","-"
"219","AMHARa","Danigla","May","2016","36.83153176","11.25223153","4.50","-"
"220","AMHARa","Chagni","May","2016","36.50793596","10.95196565","4.50","-"
"221","AMHARa","Kemise","May","2016","39.85696873","10.71374234","4.88","-"
"222","AMHARa","Bati","May","2016","40.0181327","11.19153266","5.79","-"
"223","AMHARa","Mota","NOVEMBER","2015","37.8807432","11.07475582","4.03","-"
"224","AMHARa","Debre- markos ","NOVEMBER","2015","37.72636868","10.33641293","4.80","-"
"225","AMHARa","Dembecha","NOVEMBER","2015","37.48251554","10.56669266","4.69","-"
"226","AMHARa","Bahir- Dar ","NOVEMBER","2015","37.3815488","11.58416449","6.00","-"
"227","AMHARa","Sekota","NOVEMBER","2015","39.03355257","12.62479803","5.37","-"
"228","AMHARa","Amde Work ","NOVEMBER","2015","38.85815043","12.45920199","6.67","-"
"229","AMHARa","Danigla","NOVEMBER","2015","36.83153176","11.25223153","4.35","-"
"230","AMHARa","Chagni","NOVEMBER","2015","36.50793596","10.95196565","4.50","-"
"231","AMHARa","Kemise","NOVEMBER","2015","39.85696873","10.71374234","5.04","-"
"232","AMHARa","Bati","NOVEMBER","2015","40.0181327","11.19153266","5.63","-"
"233","AMHARa","Mota","October","2015","37.8807432","11.07475582","3.80","-"
"234","AMHARa","Debre- markos ","October","2015","37.72636868","10.33641293","4.50","-"
"235","AMHARa","Dembecha","October","2015","37.48251554","10.56669266","4.20","-"
"236","AMHARa","Bahir- Dar ","October","2015","37.3815488","11.58416449","6.32","-"
"237","AMHARa","Sekota","October","2015","39.03355257","12.62479803","5.90","-"
"238","AMHARa","Amde Work ","October","2015","38.85815043","12.45920199","6.91","-"
"239","AMHARa","Danigla","October","2015","36.83153176","11.25223153","4.47","-"
"240","AMHARa","Chagni","October","2015","36.50793596","10.95196565","4.00","-"
"241","AMHARa","Kemise","October","2015","39.85696873","10.71374234","3.79","-"
"242","AMHARa","Bati","October","2015","40.0181327","11.19153266","5.37","-"
"243","AMHARa","Mota","September","2015","37.8807432","11.07475582","3.80","-"
"244","AMHARa","Debre- markos ","September","2015","37.72636868","10.33641293","4.50","-"
"245","AMHARa","Dembecha","September","2015","37.48251554","10.56669266","4.18","-"
"246","AMHARa","Bahir- Dar ","September","2015","37.3815488","11.58416449","5.48","-"
"247","AMHARa","Sekota","September","2015","39.03355257","12.62479803","5.92","-"
"248","AMHARa","Amde Work ","September","2015","38.85815043","12.45920199","6.89","-"
"249","AMHARa","Danigla","September","2015","36.83153176","11.25223153","4.32","-"
"250","AMHARa","Chagni","September","2015","36.50793596","10.95196565","4.50","-"
"251","AMHARa","Kemise","September","2015","39.85696873","10.71374234","3.40","-"
"252","AMHARa","Bati","September","2015","40.0181327","11.19153266","5.34","-"
"253","GAMBELLA","Gambella","April","2016","34.58547076","8.249396585","6.00","7.32"
"254","GAMBELLA","Shebo- kire ","April","2016",NA,NA,"-","-"
"255","GAMBELLA","Meti","April","2016","7.233333333","35.31666667","5.00","6.00"
"256","HARARI","Harari Town","April","2016","42.132193","9.309582","6.90","7.40"
"257","DIREDAWA","Dire Dawa ","April","2016","41.8572763","9.593652332","6.33","-"
"258","DIREDAWA","Melka- Jebdu ","April","2016","41.77420401","9.617496554","6.00","10.00"
"259","GAMBELLA","Gambella","AUGUST","2015","34.58547076","8.249396585","6.00","8.00"
"260","GAMBELLA","Shebo- kire ","AUGUST","2015",NA,NA,"5.36","-"
"261","GAMBELLA","Meti","AUGUST","2015","7.233333333","35.31666667","5.00","6.00"
"262","HARARI","Harari Town","AUGUST","2015","42.132193","9.309582","7.48","8.89"
"263","DIREDAWA","Dire Dawa ","AUGUST","2015","41.8572763","9.593652332","8.00","-"
"264","DIREDAWA","Melka- Jebdu ","AUGUST","2015","41.77420401","9.617496554","6.00","8.94"
"265","GAMBELLA","Gambella","DECEMBER","2015","34.58547076","8.249396585","6.32","8.00"
"266","GAMBELLA","Shebo- kire ","DECEMBER","2015",NA,NA,"5.17","-"
"267","GAMBELLA","Meti","DECEMBER","2015","7.233333333","35.31666667","4.00","5.00"
"268","HARARI","Harari Town","DECEMBER","2015","42.132193","9.309582","7.82","7.66"
"269","DIREDAWA","Dire Dawa ","DECEMBER","2015","41.8572763","9.593652332","8.00","-"
"270","DIREDAWA","Melka- Jebdu ","DECEMBER","2015","41.77420401","9.617496554","6.00","8.00"
"271","GAMBELLA","Gambella","February","2016","34.58547076","8.249396585","6.00","7.65"
"272","GAMBELLA","Shebo- kire ","February","2016",NA,NA,"5.10","-"
"273","GAMBELLA","Meti","February","2016","7.233333333","35.31666667","5.00","6.00"
"274","HARARI","Harari Town","February","2016","42.132193","9.309582","7.57","8.50"
"275","DIREDAWA","Dire Dawa ","February","2016","41.8572763","9.593652332","6.33","-"
"276","DIREDAWA","Melka- Jebdu ","February","2016","41.77420401","9.617496554","7.16","10.25"
"277","GAMBELLA","Gambella","JANUARY","2016","34.58547076","8.249396585","6.00","8.00"
"278","GAMBELLA","Shebo- kire ","JANUARY","2016",NA,NA,"4.45","-"
"279","GAMBELLA","Meti","JANUARY","2016","7.233333333","35.31666667","4.00","5.00"
"280","HARARI","Harari Town","JANUARY","2016","42.132193","9.309582","7.08","7.83"
"281","DIREDAWA","Dire Dawa ","JANUARY","2016","41.8572763","9.593652332","7.48","-"
"282","DIREDAWA","Melka- Jebdu ","JANUARY","2016","41.77420401","9.617496554","8.00","10.00"
"283","GAMBELLA","Gambella","JULY","2015","34.58547076","8.249396585","6.00","7.00"
"284","GAMBELLA","Shebo- kire ","JULY","2015",NA,NA,"5.08","-"
"285","GAMBELLA","Meti","JULY","2015","7.233333333","35.31666667","4.00","-"
"286","HARARI","Harari Town","JULY","2015","42.132193","9.309582","7.00","8.46"
"287","DIREDAWA","Dire Dawa ","JULY","2015","41.8572763","9.593652332","8.00","-"
"288","DIREDAWA","Melka- Jebdu ","JULY","2015","41.77420401","9.617496554","6.20","10.00"
"289","GAMBELLA","Gambella","June","2016","34.58547076","8.249396585","6.00","7.65"
"290","GAMBELLA","Shebo- kire ","June","2016",NA,NA,"5.88","-"
"291","GAMBELLA","Meti","June","2016","7.233333333","35.31666667","6.00","7.00"
"292","HARARI","Harari Town","June","2016","42.132193","9.309582","6.74","8.22"
"293","DIREDAWA","Dire Dawa ","June","2016","41.8572763","9.593652332","6.50","-"
