"","Region","Market","Month","Year","Longitude","Latitude","Unmilled Maize Price Birr.KG","Milled Maize Price Birr.KG"
"1","ADDIS","addis ababa","April","2019","38.793806","9.023748","12",NA
"2","ADDIS","addis ababa","August","2018","38.793806","9.023748","11","14"
"3","ADDIS","addis ababa","December","2018","38.793806","9.023748","10.745","14"
"4","ADDIS","addis ababa","February","2019","38.793806","9.023748","11","15"
"5","ADDIS","addis ababa","January","2019","38.793806","9.023748","10.875","14"
"6","ADDIS","addis ababa","July","2018","38.793806","9.023748","11.245","14.49"
"7","ADDIS","addis ababa","March","2019","38.793806","9.023748","10.5","15"
"8","ADDIS","addis ababa","May","2019","38.793806","9.023748","11.745","15"
"9","ADDIS","addis ababa","November","2018","38.793806","9.023748","11.22","14.49"
"10","ADDIS","addis ababa","October","2018","38.793806","9.023748","11","14"
"11","ADDIS","addis ababa","September","2018","38.793806","9.023748","10.99",NA
"12","AMHARA","Chuahit","April","2019","39.311961","10.643157","8.50","-"
"13","AMHARA","Gondar","April","2019","37.46149667","12.59878688","8.00","-"
"14","AMHARA","Esete","April","2019","37.88657423","10.92298692","9.72","-"
"15","AMHARA","Debre- Tabor ","April","2019","38.00833967","11.84769551","9.45","-"
"16","AMHARA","Kobo","April","2019","39.63127424","12.16406542","9.81","-"
"17","AMHARA","Weldiya","April","2019","39.6014117","11.82360232","11.33","-"
"18","AMHARA","Kombolcha","April","2019","39.73724188","11.07807805","10.10","-"
"19","AMHARA","Dessie","April","2019","39.63548793","11.11703902","9.39","-"
"20","AMHARA","Shewa- Robit ","April","2019","39.90269733","10.00580856","10.03","-"
"21","AMHARA","Debre-¦","April","2019","39.52890047","9.67650294","10.00","-"
"22","AMHARA","Chuahit","August","2018","39.311961","10.643157","8.00","-"
"23","AMHARA","Gondar","August","2018","37.46149667","12.59878688","8.75","-"
"24","AMHARA","Esete","August","2018","37.88657423","10.92298692","9.95","-"
"25","AMHARA","Debre- Tabor ","August","2018","38.00833967","11.84769551","9.01","-"
"26","AMHARA","Kobo","August","2018","39.63127424","12.16406542","7.97","-"
"27","AMHARA","Weldiya","August","2018","39.6014117","11.82360232","9.81","-"
"28","AMHARA","Kombolcha","August","2018","39.73724188","11.07807805","9.86","-"
"29","AMHARA","Dessie","August","2018","39.63548793","11.11703902","10.38","-"
